R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Rodolfo Vieira;Armen Petrosyan;0;0;6 of 11;9 of 20;54%;45%;14 of 21;14 of 25;3 of 3;0 of 0;100%;---;1;0;0;0;2:46;0:00;4 of 6;1 of 10;0 of 2;1 of 3;2 of 3;7 of 7;6 of 11;9 of 20;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;4:48;3 Rnd (5-5-5);Mark Smith;February 10, 2024;Las Vegas, Nevada, USA;Middleweight Bout;Rodolfo Vieira
Brad Tavares;Gregory Rodrigues;0;0;37 of 84;71 of 123;44%;57%;42 of 90;79 of 135;0 of 0;2 of 6;---;33%;0;0;0;0;0:00;3:18;28 of 70;53 of 102;4 of 9;8 of 9;5 of 5;10 of 12;36 of 83;64 of 114;1 of 1;7 of 9;0 of 0;0 of 0;KO/TKO;3;0:55;3 Rnd (5-5-5);Jason Herzog;February 10, 2024;Las Vegas, Nevada, USA;Middleweight Bout;Gregory Rodrigues
Dan Ige;Andre Fili;1;0;11 of 19;8 of 33;57%;24%;11 of 19;8 of 33;0 of 0;0 of 0;---;---;0;0;0;0;0:01;0:00;4 of 11;7 of 28;2 of 3;1 of 5;5 of 5;0 of 0;10 of 18;8 of 33;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;2:43;3 Rnd (5-5-5);Jason Herzog;February 10, 2024;Las Vegas, Nevada, USA;Featherweight Bout;Dan Ige
Jack Hermansson;Joe Pyfer;0;0;121 of 235;92 of 250;51%;36%;188 of 327;95 of 254;1 of 2;0 of 6;50%;0%;0;0;0;0;3:08;0:50;74 of 174;56 of 196;15 of 23;25 of 34;32 of 38;11 of 20;111 of 219;92 of 250;5 of 6;0 of 0;5 of 10;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Mark Smith;February 10, 2024;Las Vegas, Nevada, USA;Middleweight Bout;Jack Hermansson
Bolaji Oki;Timmy Cuamba;0;0;60 of 152;33 of 94;39%;35%;61 of 157;35 of 96;1 of 1;1 of 6;100%;16%;0;0;0;0;1:49;1:55;51 of 139;20 of 67;5 of 8;8 of 14;4 of 5;5 of 13;58 of 145;26 of 86;1 of 4;5 of 6;1 of 3;2 of 2;Decision - Split;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 10, 2024;Las Vegas, Nevada, USA;Lightweight Bout;Bolaji Oki
Robert Bryczek;Ihor Potieria;0;1;32 of 133;67 of 168;24%;39%;41 of 143;77 of 181;0 of 0;0 of 4;---;0%;0;0;0;0;0:30;2:37;19 of 103;47 of 139;10 of 24;5 of 12;3 of 6;15 of 17;30 of 127;61 of 156;2 of 6;6 of 12;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mike Beltran;February 10, 2024;Las Vegas, Nevada, USA;Middleweight Bout;Ihor Potieria
Michael Johnson;Darrius Flowers;0;0;61 of 112;33 of 64;54%;51%;80 of 138;52 of 86;4 of 8;0 of 2;50%;0%;0;0;0;0;6:02;0:43;16 of 47;10 of 31;36 of 52;9 of 12;9 of 13;14 of 21;58 of 109;29 of 60;0 of 0;1 of 1;3 of 3;3 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 10, 2024;Las Vegas, Nevada, USA;Lightweight Bout;Michael Johnson
Trevin Giles;Carlos Prates;0;1;68 of 102;37 of 72;66%;51%;70 of 105;38 of 73;0 of 2;0 of 0;0%;---;0;0;0;0;1:28;0:00;25 of 51;3 of 24;2 of 2;18 of 26;41 of 49;16 of 22;67 of 100;37 of 72;1 of 2;0 of 0;0 of 0;0 of 0;KO/TKO;2;4:03;3 Rnd (5-5-5);Mike Beltran;February 10, 2024;Las Vegas, Nevada, USA;Welterweight Bout;Carlos Prates
Loma Lookboonmee;Bruna Brasil;0;0;58 of 112;28 of 63;51%;44%;73 of 131;52 of 99;1 of 2;1 of 2;50%;50%;0;0;0;0;0:55;2:29;15 of 52;9 of 39;29 of 38;12 of 16;14 of 22;7 of 8;47 of 98;22 of 55;11 of 14;6 of 8;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;February 10, 2024;Las Vegas, Nevada, USA;Women's Strawweight Bout;Loma Lookboonmee
Devin Clark;Marcin Prachnio;0;0;53 of 127;101 of 189;41%;53%;53 of 127;112 of 204;0 of 2;1 of 1;0%;100%;0;0;0;0;0:14;0:44;36 of 106;42 of 113;13 of 16;37 of 51;4 of 5;22 of 25;49 of 120;78 of 156;4 of 7;23 of 33;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 10, 2024;Las Vegas, Nevada, USA;Light Heavyweight Bout;Marcin Prachnio
Zac Pauga;Bogdan Guskov;0;1;17 of 26;10 of 29;65%;34%;19 of 28;25 of 44;0 of 2;0 of 0;0%;---;0;0;0;0;1:04;0:04;7 of 13;10 of 29;2 of 5;0 of 0;8 of 8;0 of 0;14 of 22;10 of 29;3 of 4;0 of 0;0 of 0;0 of 0;KO/TKO;1;3:38;3 Rnd (5-5-5);Mike Beltran;February 10, 2024;Las Vegas, Nevada, USA;Light Heavyweight Bout;Bogdan Guskov
Max Griffin;Jeremiah Wells;0;0;26 of 53;32 of 86;49%;37%;36 of 65;43 of 97;1 of 2;1 of 2;50%;50%;0;0;0;0;1:40;1:40;21 of 48;27 of 76;4 of 4;5 of 7;1 of 1;0 of 3;24 of 51;32 of 85;2 of 2;0 of 1;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 10, 2024;Las Vegas, Nevada, USA;Welterweight Bout;Max Griffin
Daniel Marcos;Aoriqileng;0;0;81 of 126;45 of 95;64%;47%;84 of 129;45 of 96;0 of 0;0 of 0;---;---;0;0;0;0;0:28;0:38;50 of 84;26 of 71;12 of 19;10 of 12;19 of 23;9 of 12;69 of 113;43 of 93;5 of 6;2 of 2;7 of 7;0 of 0;Could Not Continue;2;3:28;3 Rnd (5-5-5);Jason Herzog;February 10, 2024;Las Vegas, Nevada, USA;Bantamweight Bout;
Fernie Garcia;Hyder Amil;0;1;26 of 79;79 of 144;32%;54%;31 of 87;109 of 194;0 of 0;1 of 3;---;33%;0;2;1;1;0:56;2:20;22 of 75;60 of 121;3 of 3;14 of 17;1 of 1;5 of 6;25 of 78;58 of 109;1 of 1;3 of 9;0 of 0;18 of 26;KO/TKO;2;2:12;3 Rnd (5-5-5);Mark Smith;February 10, 2024;Las Vegas, Nevada, USA;Featherweight Bout;Hyder Amil
Geoff Neal;Ian Machado Garry;0;0;46 of 89;67 of 135;51%;49%;57 of 102;80 of 148;0 of 0;0 of 0;---;---;0;0;0;0;3:45;0:12;25 of 64;39 of 96;10 of 13;18 of 27;11 of 12;10 of 12;38 of 79;65 of 133;8 of 10;2 of 2;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Frank Trigg;February 17, 2024;Anaheim, California, USA;Welterweight Bout;Ian Machado Garry
Amanda Lemos;Mackenzie Dern;1;0;41 of 80;21 of 54;51%;38%;47 of 86;50 of 85;2 of 2;1 of 3;100%;33%;0;0;0;2;4:02;6:00;26 of 62;21 of 51;8 of 10;0 of 2;7 of 8;0 of 1;24 of 56;13 of 42;1 of 2;0 of 1;16 of 22;8 of 11;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mike Beltran;February 17, 2024;Anaheim, California, USA;Women's Strawweight Bout;Amanda Lemos
Merab Dvalishvili;Henry Cejudo;0;0;74 of 172;29 of 78;43%;37%;167 of 273;54 of 106;5 of 11;1 of 7;45%;14%;1;0;0;0;4:23;2:05;44 of 128;13 of 54;20 of 34;5 of 11;10 of 10;11 of 13;51 of 134;24 of 68;13 of 24;5 of 10;10 of 14;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jonathan Romero;February 17, 2024;Anaheim, California, USA;Bantamweight Bout;Merab Dvalishvili
Marcos Rogerio de Lima;Junior Tafa;1;0;33 of 46;11 of 27;71%;40%;63 of 78;17 of 33;1 of 3;0 of 0;33%;---;0;0;0;0;3:26;0:00;19 of 31;9 of 24;2 of 2;1 of 2;12 of 13;1 of 1;22 of 32;10 of 26;1 of 1;0 of 0;10 of 13;1 of 1;KO/TKO;2;1:14;3 Rnd (5-5-5);Frank Trigg;February 17, 2024;Anaheim, California, USA;Heavyweight Bout;Marcos Rogerio de Lima
Rinya Nakamura;Carlos Vera;0;0;38 of 70;12 of 25;54%;48%;73 of 114;55 of 79;3 of 3;0 of 0;100%;---;0;0;0;0;13:03;0:00;30 of 61;7 of 19;6 of 7;1 of 2;2 of 2;4 of 4;7 of 9;6 of 15;1 of 1;1 of 2;30 of 60;5 of 8;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jonathan Romero;February 17, 2024;Anaheim, California, USA;Bantamweight Bout;Rinya Nakamura
Anthony Hernandez;Roman Kopylov;0;0;34 of 77;35 of 57;44%;61%;39 of 82;41 of 63;3 of 14;0 of 0;21%;---;2;0;0;0;4:05;0:00;28 of 68;21 of 43;4 of 6;8 of 8;2 of 3;6 of 6;24 of 65;34 of 56;8 of 10;1 of 1;2 of 2;0 of 0;Submission;2;3:23;3 Rnd (5-5-5);Jason Herzog;February 17, 2024;Anaheim, California, USA;Middleweight Bout;Anthony Hernandez
Robert Whittaker;Paulo Costa;0;0;95 of 175;67 of 151;54%;44%;95 of 175;67 of 151;0 of 1;0 of 0;0%;---;0;0;0;0;0:00;0:00;63 of 143;39 of 117;4 of 4;8 of 12;28 of 28;20 of 22;95 of 172;67 of 151;0 of 3;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mike Beltran;February 17, 2024;Anaheim, California, USA;Middleweight Bout;Robert Whittaker
Alexander Volkanovski;Ilia Topuria;0;1;47 of 107;35 of 77;43%;45%;47 of 107;36 of 78;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:03;21 of 68;17 of 53;11 of 22;12 of 16;15 of 17;6 of 8;44 of 102;28 of 70;3 of 5;4 of 4;0 of 0;3 of 3;KO/TKO;2;3:32;5 Rnd (5-5-5-5-5);Jason Herzog;February 17, 2024;Anaheim, California, USA;UFC Featherweight Title Bout;Ilia Topuria
Zhang Mingyang;Brendson Ribeiro;1;0;17 of 28;14 of 31;60%;45%;17 of 28;14 of 31;0 of 0;0 of 0;---;---;0;0;0;0;0:02;0:00;13 of 19;14 of 31;2 of 5;0 of 0;2 of 4;0 of 0;14 of 25;14 of 31;0 of 0;0 of 0;3 of 3;0 of 0;KO/TKO;1;1:41;3 Rnd (5-5-5);Mike Beltran;February 17, 2024;Anaheim, California, USA;Light Heavyweight Bout;Zhang Mingyang
Andrea Lee;Miranda Maverick;0;0;36 of 102;66 of 136;35%;48%;59 of 126;106 of 180;2 of 3;3 of 8;66%;37%;1;0;0;0;0:42;3:05;14 of 72;28 of 89;13 of 19;16 of 25;9 of 11;22 of 22;32 of 96;60 of 128;3 of 3;6 of 8;1 of 3;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Frank Trigg;February 17, 2024;Anaheim, California, USA;Women's Flyweight Bout;Miranda Maverick
Josh Quinlan;Danny Barlow;0;1;39 of 90;95 of 185;43%;51%;39 of 90;96 of 186;0 of 1;0 of 0;0%;---;0;0;0;0;0:00;0:13;22 of 68;77 of 161;14 of 18;13 of 18;3 of 4;5 of 6;39 of 90;88 of 175;0 of 0;1 of 2;0 of 0;6 of 8;KO/TKO;3;1:18;3 Rnd (5-5-5);Jason Herzog;February 17, 2024;Anaheim, California, USA;Welterweight Bout;Danny Barlow
Oban Elliott;Val Woodburn;0;1;70 of 111;23 of 61;63%;37%;136 of 188;30 of 70;3 of 5;2 of 2;60%;100%;0;0;0;1;8:58;1:56;60 of 96;19 of 55;7 of 11;2 of 4;3 of 4;2 of 2;33 of 65;15 of 46;3 of 3;5 of 10;34 of 43;3 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jonathan Romero;February 17, 2024;Anaheim, California, USA;Welterweight Bout;Oban Elliott
Bryce Mitchell;Dan Ige;0;0;23 of 40;18 of 55;57%;32%;37 of 59;32 of 72;5 of 15;0 of 0;33%;---;1;0;0;1;7:33;2:11;13 of 22;13 of 47;7 of 14;3 of 6;3 of 4;2 of 2;17 of 29;16 of 51;1 of 3;2 of 3;5 of 8;0 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;September 23, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Bryce Mitchell
Jacob Malkoun;Cody Brundage;0;0;28 of 39;2 of 4;71%;50%;44 of 60;3 of 5;1 of 3;1 of 1;33%;100%;0;0;0;0;3:39;0:26;28 of 39;1 of 3;0 of 0;0 of 0;0 of 0;1 of 1;0 of 0;1 of 3;0 of 0;0 of 0;28 of 39;1 of 1;DQ;1;4:15;3 Rnd (5-5-5);Mark Smith;September 23, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Cody Brundage
Dan Argueta;Miles Johns;0;0;33 of 85;43 of 92;38%;46%;38 of 95;52 of 104;2 of 6;2 of 6;33%;33%;2;0;0;0;3:55;4:39;20 of 67;32 of 77;8 of 12;5 of 9;5 of 6;6 of 6;22 of 70;40 of 84;5 of 8;2 of 3;6 of 7;1 of 5;Overturned;3;5:00;3 Rnd (5-5-5);Kerry Hatley;September 23, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;
Rafael Fiziev;Mateusz Gamrot;0;0;18 of 32;16 of 40;56%;40%;19 of 34;17 of 42;0 of 0;1 of 6;---;16%;0;0;0;0;0:00;1:28;4 of 14;11 of 31;12 of 16;2 of 5;2 of 2;3 of 4;18 of 32;13 of 35;0 of 0;1 of 1;0 of 0;2 of 4;KO/TKO;2;2:03;5 Rnd (5-5-5-5-5);Herb Dean;September 23, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Mateusz Gamrot
Tim Means;Andre Fialho;2;0;104 of 143;51 of 103;72%;49%;134 of 178;56 of 110;0 of 2;1 of 1;0%;100%;0;0;1;0;2:51;0:48;66 of 103;32 of 75;33 of 35;15 of 23;5 of 5;4 of 5;56 of 87;35 of 86;30 of 35;16 of 17;18 of 21;0 of 0;KO/TKO;3;1:15;3 Rnd (5-5-5);Dan Miragliotta;September 23, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Tim Means
Ricardo Ramos;Charles Jourdain;0;0;0 of 9;8 of 9;0%;88%;0 of 10;8 of 10;2 of 3;0 of 0;66%;---;1;1;0;0;1:58;0:00;0 of 6;3 of 4;0 of 1;4 of 4;0 of 2;1 of 1;0 of 9;7 of 8;0 of 0;1 of 1;0 of 0;0 of 0;Submission;1;3:12;3 Rnd (5-5-5);Herb Dean;September 23, 2023;Las Vegas, Nevada, USA;Featherweight Bout;Charles Jourdain
Marina Rodriguez;Michelle Waterson-Gomez;0;0;70 of 102;13 of 32;68%;40%;90 of 130;16 of 37;1 of 1;1 of 6;100%;16%;0;0;0;0;2:03;2:49;47 of 70;7 of 23;22 of 30;5 of 7;1 of 2;1 of 2;12 of 23;4 of 17;53 of 73;7 of 9;5 of 6;2 of 6;KO/TKO;2;2:42;3 Rnd (5-5-5);Kerry Hatley;September 23, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout;Marina Rodriguez
Bryan Battle;AJ Fletcher;0;0;45 of 80;25 of 51;56%;49%;63 of 105;29 of 57;1 of 2;0 of 2;50%;0%;1;0;0;0;3:30;0:33;9 of 25;6 of 26;34 of 52;6 of 9;2 of 3;13 of 16;29 of 61;20 of 41;16 of 19;5 of 9;0 of 0;0 of 1;Submission;2;4:32;3 Rnd (5-5-5);Dan Miragliotta;September 23, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Bryan Battle
 Mizuki;Hannah Goldy;0;0;55 of 105;47 of 95;52%;49%;83 of 140;64 of 123;1 of 2;1 of 14;50%;7%;0;0;0;0;3:31;2:51;31 of 72;10 of 43;20 of 29;26 of 39;4 of 4;11 of 13;37 of 77;20 of 55;17 of 26;27 of 40;1 of 2;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;September 23, 2023;Las Vegas, Nevada, USA;Women's Strawweight Bout; Mizuki
Mohammed Usman;Jake Collier;0;0;85 of 191;87 of 183;44%;47%;118 of 234;100 of 198;1 of 3;0 of 0;33%;---;0;2;0;0;3:07;0:53;58 of 156;53 of 145;27 of 35;22 of 25;0 of 0;12 of 13;83 of 186;80 of 171;1 of 3;7 of 12;1 of 2;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Dan Miragliotta;September 23, 2023;Las Vegas, Nevada, USA;Heavyweight Bout;Mohammed Usman
Tamires Vidal;Montserrat Rendon;0;0;60 of 109;69 of 182;55%;37%;78 of 131;112 of 240;0 of 3;3 of 5;0%;60%;1;0;0;0;0:54;4:51;17 of 59;45 of 148;3 of 3;11 of 18;40 of 47;13 of 16;60 of 108;55 of 151;0 of 1;1 of 2;0 of 0;13 of 29;Decision - Split;3;5:00;3 Rnd (5-5-5);Kerry Hatley;September 23, 2023;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Montserrat Rendon
Jeremiah Wells;Matthew Semelsberger;0;2;36 of 76;20 of 37;47%;54%;86 of 158;39 of 59;6 of 10;0 of 1;60%;0%;0;0;0;0;11:12;1:29;29 of 67;17 of 33;7 of 9;3 of 4;0 of 0;0 of 0;10 of 28;12 of 22;2 of 3;4 of 5;24 of 45;4 of 10;Decision - Split;3;5:00;3 Rnd (5-5-5);Marc Goddard;April 22, 2023;Las Vegas, Nevada, USA;Welterweight Bout;Jeremiah Wells
Bobby Green;Jared Gordon;0;0;23 of 69;17 of 53;33%;32%;23 of 69;17 of 53;0 of 1;0 of 1;0%;0%;0;0;0;0;0:01;0:00;15 of 56;9 of 34;6 of 9;5 of 11;2 of 4;3 of 8;17 of 62;17 of 53;0 of 1;0 of 0;6 of 6;0 of 0;Could Not Continue;1;4:35;3 Rnd (5-5-5);Keith Peterson;April 22, 2023;Las Vegas, Nevada, USA;Lightweight Bout;
Sergei Pavlovich;Curtis Blaydes;1;0;36 of 85;14 of 56;42%;25%;36 of 85;14 of 56;0 of 0;0 of 1;---;0%;0;0;0;0;0:00;0:00;30 of 78;11 of 51;6 of 7;1 of 1;0 of 0;2 of 4;32 of 81;14 of 56;0 of 0;0 of 0;4 of 4;0 of 0;KO/TKO;1;3:08;5 Rnd (5-5-5-5-5);Marc Goddard;April 22, 2023;Las Vegas, Nevada, USA;Heavyweight Bout;Sergei Pavlovich
Iasmin Lucindo;Brogan Walker;0;0;53 of 118;29 of 145;44%;20%;57 of 123;31 of 149;4 of 5;0 of 0;80%;---;0;0;0;0;0:46;1:04;33 of 93;6 of 99;19 of 23;13 of 22;1 of 2;10 of 24;51 of 115;22 of 137;2 of 2;7 of 8;0 of 1;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;April 22, 2023;Las Vegas, Nevada, USA;Women's Flyweight Bout;Iasmin Lucindo
Brad Tavares;Bruno Silva;0;1;15 of 64;23 of 51;23%;45%;15 of 65;24 of 52;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:02;11 of 56;17 of 40;4 of 8;5 of 9;0 of 0;1 of 2;15 of 64;21 of 48;0 of 0;1 of 2;0 of 0;1 of 1;KO/TKO;1;3:35;3 Rnd (5-5-5);Mark Smith;April 22, 2023;Las Vegas, Nevada, USA;Middleweight Bout;Bruno Silva
Rani Yahya;Montel Jackson;0;1;7 of 21;9 of 21;33%;42%;7 of 22;10 of 23;0 of 3;0 of 0;0%;---;0;0;0;0;0:08;1:17;1 of 10;7 of 18;1 of 2;1 of 2;5 of 9;1 of 1;7 of 21;5 of 14;0 of 0;0 of 0;0 of 0;4 of 7;KO/TKO;1;3:42;3 Rnd (5-5-5);Keith Peterson;April 22, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;Montel Jackson
Mohammed Usman;Junior Tafa;0;0;7 of 29;22 of 61;24%;36%;79 of 133;37 of 78;2 of 12;0 of 0;16%;---;0;0;0;0;12:03;0:00;6 of 28;17 of 55;1 of 1;5 of 6;0 of 0;0 of 0;2 of 22;12 of 45;2 of 2;10 of 16;3 of 5;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;April 22, 2023;Las Vegas, Nevada, USA;Heavyweight Bout;Mohammed Usman
Ricky Glenn;Christos Giagos;0;1;2 of 11;9 of 16;18%;56%;2 of 11;9 of 16;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;1 of 7;4 of 11;0 of 1;3 of 3;1 of 3;2 of 2;2 of 11;8 of 15;0 of 0;0 of 0;0 of 0;1 of 1;KO/TKO;1;1:35;3 Rnd (5-5-5);Jacob Montalvo;April 22, 2023;Las Vegas, Nevada, USA;Lightweight Bout;Christos Giagos
Karol Rosa;Norma Dumont;1;0;33 of 68;35 of 87;48%;40%;144 of 194;63 of 129;0 of 2;1 of 1;0%;100%;0;0;0;0;3:13;4:54;19 of 43;18 of 64;8 of 11;9 of 13;6 of 14;8 of 10;20 of 53;27 of 76;13 of 15;8 of 11;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;April 22, 2023;Las Vegas, Nevada, USA;Women's Featherweight Bout;Norma Dumont
Francis Marshall;William Gomis;0;0;15 of 132;27 of 79;11%;34%;35 of 165;30 of 84;2 of 5;0 of 0;40%;---;2;0;0;0;4:20;0:17;10 of 123;6 of 47;4 of 8;8 of 17;1 of 1;13 of 15;13 of 129;27 of 78;0 of 0;0 of 1;2 of 3;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Keith Peterson;April 22, 2023;Las Vegas, Nevada, USA;Featherweight Bout;William Gomis
Brady Hiestand;Batgerel Danaa;0;1;45 of 81;41 of 134;55%;30%;96 of 143;92 of 200;3 of 7;1 of 1;42%;100%;0;0;0;1;4:09;1:00;29 of 58;33 of 121;11 of 15;2 of 5;5 of 8;6 of 8;41 of 77;29 of 112;0 of 0;7 of 9;4 of 4;5 of 13;KO/TKO;3;4:21;3 Rnd (5-5-5);Jerin Valel;April 22, 2023;Las Vegas, Nevada, USA;Bantamweight Bout;Brady Hiestand
Israel Adesanya;Sean Strickland;0;1;94 of 271;137 of 259;34%;52%;94 of 271;137 of 259;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:14;22 of 154;85 of 186;38 of 60;45 of 62;34 of 57;7 of 11;94 of 271;121 of 235;0 of 0;11 of 14;0 of 0;5 of 10;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Marc Goddard;September 09, 2023;Sydney, New South Wales, Australia;UFC Middleweight Title Bout;Sean Strickland
Justin Tafa;Austen Lane;1;0;11 of 14;7 of 14;78%;50%;11 of 14;7 of 15;0 of 0;0 of 0;---;---;0;0;0;0;0:05;0:00;9 of 11;3 of 9;0 of 0;1 of 2;2 of 3;3 of 3;6 of 9;7 of 14;0 of 0;0 of 0;5 of 5;0 of 0;KO/TKO;1;1:22;3 Rnd (5-5-5);Jim Perdios;September 09, 2023;Sydney, New South Wales, Australia;Heavyweight Bout;Justin Tafa
Carlos Ulberg;Da Woon Jung;1;0;81 of 154;58 of 120;52%;48%;91 of 165;60 of 123;1 of 2;1 of 2;50%;50%;1;0;0;0;1:41;0:15;50 of 119;14 of 59;20 of 23;12 of 20;11 of 12;32 of 41;59 of 126;55 of 115;8 of 9;3 of 5;14 of 19;0 of 0;Submission;3;4:49;3 Rnd (5-5-5);Herb Dean;September 09, 2023;Sydney, New South Wales, Australia;Light Heavyweight Bout;Carlos Ulberg
Jamie Mullarkey;John Makdessi;0;0;88 of 179;83 of 188;49%;44%;88 of 179;85 of 190;0 of 2;0 of 1;0%;0%;0;0;0;0;0:00;0:00;38 of 120;37 of 119;13 of 20;22 of 45;37 of 39;24 of 24;88 of 179;83 of 188;0 of 0;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jim Perdios;September 09, 2023;Sydney, New South Wales, Australia;Lightweight Bout;Jamie Mullarkey
Tai Tuivasa;Alexander Volkov;0;1;28 of 67;93 of 143;41%;65%;30 of 69;107 of 164;0 of 0;0 of 1;---;0%;0;1;0;0;0:00;2:35;4 of 31;65 of 110;7 of 9;18 of 21;17 of 27;10 of 12;26 of 65;72 of 115;2 of 2;3 of 3;0 of 0;18 of 25;Submission;2;4:37;3 Rnd (5-5-5);Herb Dean;September 09, 2023;Sydney, New South Wales, Australia;Heavyweight Bout;Alexander Volkov
Manel Kape;Felipe dos Santos;1;0;112 of 182;99 of 304;61%;32%;116 of 186;101 of 310;1 of 1;0 of 5;100%;0%;0;0;0;0;0:45;0:08;77 of 137;53 of 215;24 of 30;28 of 60;11 of 15;18 of 29;92 of 149;94 of 292;6 of 9;4 of 8;14 of 24;1 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Greg Kleynjans;September 09, 2023;Sydney, New South Wales, Australia;Flyweight Bout;Manel Kape
Jack Jenkins;Chepe Mariscal;0;0;41 of 68;38 of 87;60%;43%;43 of 70;87 of 143;0 of 1;1 of 1;0%;100%;0;0;0;0;0:07;2:46;16 of 36;14 of 53;13 of 18;11 of 16;12 of 14;13 of 18;35 of 60;23 of 65;6 of 8;14 of 21;0 of 0;1 of 1;KO/TKO;2;3:19;3 Rnd (5-5-5);Greg Kleynjans;September 09, 2023;Sydney, New South Wales, Australia;Featherweight Bout;Chepe Mariscal
Tyson Pedro;Anton Turkalj;1;0;16 of 29;8 of 24;55%;33%;16 of 29;9 of 25;0 of 0;0 of 0;---;---;0;0;0;0;0:03;0:00;12 of 24;3 of 13;1 of 2;1 of 1;3 of 3;4 of 10;15 of 28;6 of 21;0 of 0;2 of 3;1 of 1;0 of 0;KO/TKO;1;2:12;3 Rnd (5-5-5);Marc Goddard;September 09, 2023;Sydney, New South Wales, Australia;Light Heavyweight Bout;Tyson Pedro
Shane Young;Gabriel Miranda;0;0;1 of 4;2 of 6;25%;33%;1 of 4;2 of 6;0 of 0;1 of 2;---;50%;0;1;0;0;0:00;0:32;0 of 2;0 of 2;1 of 2;1 of 2;0 of 0;1 of 2;1 of 4;2 of 6;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;0:59;3 Rnd (5-5-5);Greg Kleynjans;September 09, 2023;Sydney, New South Wales, Australia;Featherweight Bout;Gabriel Miranda
Blood Diamond;Charles Radtke;0;0;44 of 94;35 of 76;46%;46%;75 of 136;63 of 112;0 of 3;1 of 6;0%;16%;0;0;0;0;0:21;9:41;19 of 58;31 of 72;19 of 28;4 of 4;6 of 8;0 of 0;19 of 58;27 of 59;25 of 36;8 of 17;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;September 09, 2023;Sydney, New South Wales, Australia;Welterweight Bout;Charles Radtke
