fighter,Weight Division,Gender,Image URL
Alex White,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67214/profile-galery/fullbodyleft-picture/WHITE_ALEX_L.png?itok=uN7nOGMa
Alex White,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67214/profile-galery/fullbodyleft-picture/WHITE_ALEX_L.png?itok=uN7nOGMa
Alexa Grasso,125,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/GRASSO_ALEXA_L_BELT_09-16.png?itok=fqhGUhJY
Alexa Grasso,115,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/GRASSO_ALEXA_L_BELT_09-16.png?itok=fqhGUhJY
Alexander Gustafsson,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-07/GUSTAFSSON_ALEXANDER_L_07-23.png?itok=UK84-nBw
Alexander Gustafsson,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-07/GUSTAFSSON_ALEXANDER_L_07-23.png?itok=UK84-nBw
Alexander Hernandez,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/HERNANDEZ_ALEXANDER_L_02-18.png?itok=fods9w60
Alexander Hernandez,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/HERNANDEZ_ALEXANDER_L_02-18.png?itok=fods9w60
Alexander Munoz,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/MUNOZ_ALEXANDER_L_07-15.png?itok=VdSQECTu
Alexander Volkanovski,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-01/VOLKANOVSKI_ALEXANDER_BELT_L_10-21.png?itok=-8dC8fPk
